1,1.793962
2,2.170025
3,2.437434
4,2.695547
4,2.929787
4,3.168793
4,3.385306
4,3.613206
3,3.838352
3,4.079871
4,4.334977
3,4.547068
2,4.750495
1,5.002985
1,5.237044
2,5.452326
1,5.705299
2,5.947693
2,6.242989
3,6.568599
3,6.821213
2,7.045198
2,7.281459
3,7.538476
3,7.752003
1,7.994608
1,8.227478
4,8.486569
4,8.712643
2,8.972025
2,9.207491
3,9.451378
1,9.66988
2,9.910059
3,10.14712
4,10.37195
3,10.62426
2,10.86055
1,11.09774
2,11.32133
3,11.56547
4,11.80184
3,12.02025
2,12.25927
1,12.49862
2,12.76435
3,13.01197
4,13.26116
3,13.46452
2,13.81215
1,14.05424
2,14.32578
3,14.62934
4,14.87048
3,15.09657
2,15.34486
1,15.59515
2,15.87221
3,16.08461
4,16.30549
3,16.53637
2,16.78887
1,16.99084
